Wall time,Step,Value
1688380716.606285,5,0.23139086365699768
1688380826.973166,19,0.37100934982299805
1688380999.647085,41,0.27212852239608765
1688381054.741412,48,0.25141093134880066
1688381062.617064,49,0.28582924604415894
1688381172.257677,63,0.27395862340927124
1688381180.117439,64,0.2825823724269867
1688381211.653945,68,0.28324800729751587
1688381243.325904,72,0.2753447890281677
1688381289.023776,78,0.27224674820899963
1688381327.282874,83,0.2402075082063675
1688381380.370637,90,0.2963009774684906
1688381456.070737,100,0.3159047067165375
1688381486.475684,104,0.337250679731369
1688381516.605132,108,0.3913160264492035
1688381623.077833,122,0.33894652128219604
1688381653.378655,126,0.31966352462768555
1688381661.055651,127,0.3169969916343689
1688381676.284401,129,0.33190956711769104
1688381691.435165,131,0.3216400742530823
1688381798.298645,145,0.29931706190109253
1688381821.307355,148,0.3045520782470703
1688381897.664006,158,0.3559601604938507
1688381920.271222,161,0.35984915494918823
1688381935.637733,163,0.28418242931365967
1688381950.806656,165,0.30618852376937866
1688382011.37509,173,0.3820308446884155
1688382049.180876,178,0.30204057693481445
1688382155.29955,192,0.32839739322662354
1688382245.960452,204,0.37136396765708923
1688382261.27897,206,0.39429348707199097
1688382322.261706,214,0.2907918691635132
1688382444.470802,230,0.2915627062320709
1688382557.403455,245,0.251488596200943
1688382565.072595,246,0.25793641805648804
1688382663.761871,259,0.35983094573020935
1688382671.322074,260,0.3399914801120758
1688382762.768852,272,0.38151660561561584
1688382785.530611,275,0.32274967432022095
1688382846.159314,283,0.3478894531726837
1688382869.127233,286,0.34194284677505493
1688382945.112995,296,0.3639354705810547
1688383044.005735,309,0.30062341690063477
1688383104.929788,317,0.3499373495578766
1688383127.483457,320,0.2932862341403961
1688383150.049105,323,0.3286077678203583
1688383325.838863,346,0.2829362750053406
1688383333.459274,347,0.31765708327293396
1688383424.707871,359,0.32755833864212036
1688383470.147376,365,0.3700656592845917
1688383485.4455,367,0.32238662242889404
1688383576.972862,379,0.3325515687465668
1688383637.81947,387,0.3893299996852875
1688383668.549962,391,0.34624040126800537
1688383683.504388,393,0.35809770226478577
1688383759.630397,403,0.3869820833206177
1688383774.981233,405,0.3676345944404602
1688383858.485895,416,0.3444964289665222
1688383912.63934,423,0.34028324484825134
1688384018.725377,437,0.3753235936164856
1688384026.358869,438,0.36188971996307373
1688384041.477928,440,0.37860578298568726
1688384094.790705,447,0.37045326828956604
1688384209.046469,462,0.35659682750701904
1688384239.332929,466,0.39390629529953003
1688384307.683997,475,0.38384127616882324
1688384315.262428,476,0.38646721839904785
1688384353.519073,481,0.41250163316726685
1688384361.168721,482,0.3663847744464874
1688384406.986123,488,0.4102168083190918
1688384581.884237,511,0.3979293406009674
1688384597.283677,513,0.37145209312438965
1688384604.875521,514,0.34443503618240356
1688384612.514988,515,0.33344611525535583
1688384635.24664,518,0.3597661852836609
1688384650.306968,520,0.3576298952102661
1688384756.72564,534,0.42917484045028687
1688384764.261884,535,0.43825072050094604
1688384779.426017,537,0.3897252678871155
1688384794.780338,539,0.4976913332939148
1688384809.947114,541,0.5088451504707336
1688384840.364259,545,0.4467509686946869
1688384855.613568,547,0.4287845492362976
1688384901.763753,553,0.33572322130203247
1688384932.067056,557,0.3928981423377991
1688384978.180013,563,0.42827871441841125
1688384993.418263,565,0.46171092987060547
1688385023.958369,569,0.393579363822937
1688385145.872273,585,0.4046920835971832
1688385191.412843,591,0.41665756702423096
1688385221.964936,595,0.36815494298934937
1688385237.258354,597,0.5399278998374939
1688385374.595511,615,0.6138560771942139
1688385443.77102,624,0.4472053647041321
1688385481.903424,629,0.5354923009872437
1688385489.395586,630,0.4981642961502075
1688385550.291867,638,0.557925820350647
1688385596.104436,644,0.5155243277549744
1688385603.660471,645,0.5307590961456299
1688385710.163132,659,0.4878774881362915
1688385778.76757,668,0.39829695224761963
1688385839.765319,676,0.626682698726654
1688385847.378752,677,0.5738580822944641
1688385969.405257,693,0.5933113694190979
1688385984.837909,695,0.5946244597434998
1688386190.723376,722,0.4544298052787781
1688386220.915293,726,0.5485366582870483
1688386243.732155,729,0.5194554328918457
1688386266.464812,732,0.5150009393692017
1688386365.951231,745,0.6873895525932312
1688386518.693784,765,0.6688969731330872
1688386602.818927,776,0.8295133709907532
1688386610.338237,777,0.7612121105194092
1688386655.994288,783,0.6976374387741089
1688386701.820979,789,0.8442164063453674
1688386824.11098,805,0.9610379934310913
1688386831.910564,806,0.8321220874786377
1688386847.164413,808,0.736015796661377
1688386938.707281,820,1.106153964996338
1688387038.252333,833,1.2736409902572632
1688387229.172972,858,0.8989928960800171
1688387297.814797,867,0.9035195112228394
1688387336.116781,872,0.9545488357543945
1688387451.303328,887,0.802014946937561
1688387535.511434,898,0.814288854598999
1688387565.788814,902,0.7441060543060303
1688387787.881746,931,0.8018962740898132
1688387803.018631,933,0.7584143877029419
1688387879.769917,943,0.8972498178482056
1688387933.537602,950,0.7999023199081421
1688388040.147667,964,0.7887256145477295
1688388316.194222,1000,0.8547187447547913
1688388339.209402,1003,0.894862949848175
1688388354.511895,1005,0.8693313598632812
1688388438.96126,1016,0.7377375364303589
1688388493.242908,1023,0.9121938943862915
1688388524.637593,1027,0.9080938100814819
1688388540.302533,1029,0.8056730031967163
1688388610.344163,1038,0.7429567575454712
1688388758.09241,1057,0.8156296014785767
1688388865.127137,1071,0.7702738046646118
1688388872.906147,1072,0.8516945838928223
1688388888.183958,1074,0.9648304581642151
1688388919.473268,1078,0.682950496673584
1688388989.373101,1087,0.7728327512741089
1688389081.745963,1099,0.863411545753479
1688389112.386997,1103,0.858771800994873
1688389127.909937,1105,0.9237377643585205
1688389151.245009,1108,0.7975116968154907
1688389166.355757,1110,0.8362895250320435
1688389181.852515,1112,0.8816080093383789
1688389259.34377,1122,0.8766934871673584
1688389290.225032,1126,0.8807610869407654
1688389344.851272,1133,0.9554203748703003
1688389360.313005,1135,0.7857746481895447
1688389399.391848,1140,0.8758859634399414
1688389453.555561,1147,0.827040433883667
1688389491.697197,1152,0.9322766661643982
1688389499.373152,1153,0.8969564437866211
1688389591.728056,1165,0.9224131107330322
1688389668.911391,1175,0.8122169971466064
1688389684.23015,1177,0.822665810585022
1688389691.946245,1178,0.8356689214706421
1688389745.979908,1185,0.8512565493583679
1688389814.754094,1194,0.8692880272865295
1688389822.59554,1195,0.7946000099182129
1688389979.339301,1215,0.8071751594543457
1688390013.695445,1219,0.8432812690734863
1688390071.338065,1226,0.7489253282546997
1688390240.449915,1247,0.7708985209465027
1688390279.458323,1252,0.7585344314575195
1688390287.579467,1253,0.7288207411766052
1688390303.268423,1255,0.8609080910682678
1688390327.115061,1258,0.8532768487930298
1688390358.478947,1262,0.8576443195343018
1688390405.794318,1268,0.8248194456100464
1688390437.648156,1272,0.8417261242866516
1688390478.04083,1277,0.7896296977996826
1688390525.647262,1283,0.7439878582954407
1688390589.599415,1291,0.8364249467849731
1688390652.185394,1299,0.8553410768508911
1688390714.849885,1307,0.7535516023635864
1688390786.371929,1316,0.7851743102073669
1688390841.194885,1323,0.7179704308509827
1688390864.501207,1326,0.829791784286499
1688390872.227521,1327,0.8545207977294922
1688391020.46248,1346,0.8515828251838684
1688391139.103026,1361,0.8418262004852295
1688391171.896996,1365,0.7157381772994995
1688391260.90662,1376,0.7721567153930664
1688391269.517664,1377,0.8611528873443604
1688391302.207195,1381,0.7586983442306519
1688391598.688744,1418,0.7867450714111328
1688391760.298288,1439,0.8193624019622803
1688391767.987899,1440,0.7628941535949707
1688391906.295115,1458,0.8214470148086548
1688391913.960848,1459,0.8596459627151489
1688391937.019744,1462,0.7581152319908142
1688392036.518639,1475,0.7065647840499878
1688392051.858008,1477,0.7099399566650391
1688392136.354523,1488,0.7375063300132751
1688392159.17597,1491,0.8014723062515259
1688392189.946252,1495,0.8155919313430786
1688392251.622908,1503,0.6785419583320618
1688392305.535474,1510,0.6981830596923828
1688392313.224591,1511,0.6659197211265564
1688392336.234555,1514,0.8154985308647156
1688392359.064818,1517,0.7267802357673645
