Wall time,Step,Value
1688570189.916858,557,1.1509562730789185
1688570200.266342,563,1.0615566968917847
1688570246.881939,591,0.41983622312545776
1688570253.624041,595,1.0464372634887695
1688570256.789607,597,0.9365344047546387
1688570309.884147,629,1.0114281177520752
1688570311.595234,630,0.8814018964767456
1688570324.544295,638,1.0561164617538452
1688570334.443597,644,1.0960536003112793
1688570336.033457,645,1.1095330715179443
1688570359.05642,659,1.041200041770935
1688570373.286979,668,0.9707634449005127
1688570386.506077,676,0.9479995965957642
1688570417.799217,695,1.0942862033843994
1688570462.816909,722,0.9890533685684204
1688570469.396995,726,0.9279160499572754
1688570500.569863,745,1.181323528289795
1688570533.445247,765,1.12882661819458
1688570552.663285,776,0.864142119884491
1688570554.358702,777,1.0355842113494873
1688570564.872321,783,0.20461484789848328
1688570575.667389,789,1.1146780252456665
1688570604.29845,805,1.079737901687622
1688570606.129053,806,0.8759603500366211
1688570609.741162,808,0.8801745176315308
1688570630.876244,820,1.025840163230896
1688570653.865309,833,0.8541959524154663
1688570697.995952,858,1.2368154525756836
1688570714.048256,867,0.9627866744995117
1688570722.503063,872,1.0459024906158447
1688570747.098372,887,1.1111664772033691
1688570765.371845,898,1.192914366722107
1688570771.924438,902,0.904221773147583
1688570820.370297,931,1.1190924644470215
1688570840.395595,943,0.44909167289733887
1688570852.074098,950,0.9403164386749268
1688570938.221664,1000,1.2578039169311523
1688570943.441108,1003,1.0748069286346436
1688570946.914848,1005,1.1877186298370361
1688570966.171795,1016,1.227104663848877
1688570978.592756,1023,0.7840381860733032
1688570985.600957,1027,1.066451907157898
1688570989.242167,1029,1.1175861358642578
1688571004.556195,1038,0.9761967062950134
1688571037.438476,1057,1.0870709419250488
1688571061.723869,1071,0.7470699548721313
1688571063.532329,1072,0.9475511312484741
1688571067.045578,1074,1.2987098693847656
1688571074.292958,1078,1.0363894701004028
1688571090.631669,1087,0.5999967455863953
1688571111.926718,1099,1.051040530204773
1688571119.039727,1103,0.5781156420707703
1688571122.60716,1105,1.0330228805541992
1688571131.461506,1110,0.9235231280326843
1688571134.996737,1112,1.095177173614502
1688571152.865976,1122,1.0405113697052002
1688571160.015095,1126,0.8252349495887756
1688571172.590246,1133,1.1245900392532349
1688571176.302556,1135,0.767075777053833
1688571196.492809,1147,0.9874298572540283
1688571205.142027,1152,0.912807822227478
1688571206.810101,1153,1.0411360263824463
1688571226.788569,1165,1.1143090724945068
1688571243.328646,1175,1.005936622619629
1688571246.474365,1177,1.2505109310150146
1688571260.116063,1185,1.0175312757492065
1688571275.382733,1194,1.162172555923462
1688571276.994322,1195,1.2167795896530151
1688571317.014234,1219,1.143690824508667
1688571328.503072,1226,1.1247813701629639
1688571364.525132,1247,0.6508411169052124
1688571372.243383,1252,1.0818476676940918
1688571373.800632,1253,0.949306845664978
1688571377.121074,1255,0.9894728660583496
1688571382.087729,1258,1.0355865955352783
1688571389.18723,1262,0.4703850746154785
1688571399.478297,1268,1.2216395139694214
1688571406.542484,1272,1.1844935417175293
1688571415.174447,1277,1.1735849380493164
1688571453.06022,1299,1.1399117708206177
1688571466.361215,1307,1.02443528175354
1688571492.411292,1323,1.0059455633163452
1688571497.503705,1326,0.6430337429046631
1688571530.561231,1346,1.0947751998901367
1688571555.711079,1361,1.1362128257751465
1688571562.343517,1365,0.8996282815933228
1688571582.040602,1376,0.9575191736221313
1688571583.801219,1377,1.0444114208221436
1688571653.928809,1418,1.0370299816131592
1688571688.67001,1439,0.8762502670288086
1688571690.343654,1440,0.9743189215660095
1688571720.792393,1458,1.2566630840301514
1688571722.413825,1459,1.2139513492584229
1688571749.03843,1475,1.1081161499023438
1688571752.472599,1477,1.0263563394546509
1688571774.917182,1491,1.3100600242614746
1688571781.630753,1495,1.2942928075790405
1688571795.253276,1503,1.073090672492981
1688571808.763479,1511,1.3346567153930664
1688571813.776905,1514,1.2484475374221802
1688571818.667581,1517,1.1821720600128174
1688571838.662333,1529,1.3398175239562988
1688571855.303911,1539,1.2352921962738037
1688571871.434147,1549,0.9473221302032471
1688571876.426098,1552,1.277077555656433
1688571899.848931,1566,0.8909633159637451
1688571904.961884,1569,1.6371567249298096
1688571913.26125,1574,1.321535587310791
1688571918.240803,1577,1.4045213460922241
1688571933.1562,1586,1.5237356424331665
1688571951.430919,1597,1.0380899906158447
1688571959.85118,1602,1.3738069534301758
1688571963.164117,1604,1.2298569679260254
1688572002.727718,1628,1.1126375198364258
1688572015.990393,1636,1.2726764678955078
1688572019.231805,1638,1.4925615787506104
1688572073.348196,1671,1.4610540866851807
1688572088.581247,1680,1.3924612998962402
1688572097.926808,1686,1.465219497680664
1688572113.263377,1695,1.3028980493545532
1688572126.394439,1703,1.546130895614624
1688572129.721241,1705,1.2920703887939453
1688572134.823486,1708,1.2803932428359985
1688572141.754535,1712,1.428648591041565
1688572153.277526,1719,1.5583833456039429
1688572198.375561,1746,1.4600346088409424
1688572247.20229,1776,1.6293295621871948
1688572250.333124,1778,1.5533661842346191
1688572269.882759,1790,1.3014001846313477
1688572274.764587,1793,1.320526123046875
1688572288.164065,1801,1.2129970788955688
1688572365.796932,1848,1.3685952425003052
1688572372.440427,1852,1.5475879907608032
1688572387.120273,1861,1.5797815322875977
1688572395.282344,1866,1.3247406482696533
1688572398.785578,1868,1.1575424671173096
1688572434.200528,1889,1.537249207496643
1688572452.169477,1900,1.3120509386062622
1688572457.321641,1903,1.2437262535095215
1688572467.084459,1909,1.6799453496932983
1688572468.747742,1910,1.596678376197815
1688572493.496456,1925,1.48171067237854
1688572495.098104,1926,1.4662466049194336
1688572513.259566,1937,1.496790885925293
1688572519.412548,1941,1.5149084329605103
1688572527.939862,1946,1.4173065423965454
1688572531.359514,1948,1.399379849433899
1688572554.6592,1961,1.1741971969604492
1688572556.541916,1962,1.3610666990280151
1688572565.802165,1967,1.3746452331542969
1688572585.514882,1978,1.5089237689971924
1688572589.249162,1980,1.2812637090682983
1688572603.252399,1988,1.3015038967132568
1688572749.449878,2071,1.6331197023391724
1688572765.04088,2080,1.6657912731170654
1688572782.436531,2090,1.382091999053955
1688572802.591235,2101,1.5754776000976562
1688572818.829345,2110,1.4240316152572632
1688572827.738383,2115,1.4664387702941895
