Wall time,Step,Value
1688073174.05843,5,0.013278745114803314
1688073198.94226,19,-0.0047687022015452385
1688073238.140728,41,0.0011295757722109556
1688073250.873152,48,0.001837417483329773
1688073252.638863,49,0.00296209123916924
1688073277.590924,63,-0.0039020199328660965
1688073279.523307,64,0.015443764626979828
1688073293.76763,72,0.0008815548499114811
1688073304.633302,78,0.0006030658259987831
1688073313.645048,83,-0.0017299321480095387
1688073326.026477,90,0.0004433659487403929
1688073351.047975,104,0.44730913639068604
1688073358.17005,108,0.5457272529602051
1688073383.166915,122,0.8385290503501892
1688073395.803969,129,0.6780853867530823
1688073399.315978,131,0.8475419282913208
1688073447.658748,158,0.9158422946929932
1688073453.134544,161,0.6964492797851562
1688073456.652881,163,0.8482106924057007
1688073460.163797,165,0.9325584173202515
1688073474.307207,173,0.9350491166114807
1688073508.346761,192,0.8861410617828369
1688073529.639566,204,1.1351933479309082
1688073533.256419,206,1.041923999786377
1688073576.25377,230,1.0660338401794434
1688073602.948664,245,1.0866371393203735
1688073604.756837,246,1.1857784986495972
1688073629.24786,260,1.0180842876434326
1688073649.838007,272,0.9261012673377991
1688073654.922082,275,1.140380859375
1688073668.33061,283,1.178538203239441
1688073673.420666,286,1.1218657493591309
1688073690.730339,296,0.9460797309875488
1688073726.032997,317,1.1052837371826172
1688073731.523685,320,0.9451158046722412
1688073736.803122,323,1.0380468368530273
1688073779.337917,347,1.06221342086792
1688073800.868891,359,0.9804213047027588
1688073811.628404,365,1.0391666889190674
1688073815.096051,367,1.0296711921691895
1688073836.952761,379,1.0957742929458618
1688073851.413458,387,1.1242691278457642
1688073858.47427,391,1.0578945875167847
1688073879.962598,403,1.0396723747253418
1688073883.469278,405,0.9473423957824707
1688073902.77688,416,0.8254032135009766
1688073915.582759,423,0.9774596691131592
1688073941.469781,437,1.025672435760498
1688073943.31261,438,1.134101152420044
1688073947.028603,440,1.157278299331665
1688073959.542486,447,1.1384129524230957
1688073985.742192,462,1.1153371334075928
1688073993.001018,466,1.0755274295806885
1688074010.626062,476,1.1771461963653564
1688074019.730925,481,0.9994186162948608
1688074021.515162,482,1.050047516822815
1688074032.031179,488,1.0525174140930176
1688074073.954722,511,1.0664644241333008
1688074077.720715,513,1.0188469886779785
1688074079.576032,514,1.0378477573394775
1688074087.092211,518,1.0653995275497437
1688074116.735895,534,1.0556899309158325
1688074122.233222,537,1.1282737255096436
1688074125.779397,539,1.0912106037139893
1688074129.301094,541,1.1583075523376465
1688074150.125389,553,1.0886889696121216
1688074156.766979,557,1.0911682844161987
1688074167.122265,563,1.0922472476959229
1688074214.172821,591,0.9758388996124268
1688074221.13626,595,1.1644566059112549
1688074224.625036,597,1.147979736328125
1688074279.92883,629,1.1328171491622925
1688074281.610544,630,0.991234302520752
1688074294.994752,638,1.148440957069397
1688074305.372202,644,1.1071397066116333
1688074307.12924,645,1.0631983280181885
1688074331.971609,659,1.0568225383758545
1688074347.520913,668,1.1935505867004395
1688074361.640645,676,1.15673828125
1688074394.144513,695,1.0019121170043945
