Wall time,Step,Value
1688400138.005984,2518,4.510000228881836
1688400153.734965,2520,4.550000190734863
1688400225.314501,2529,4.489999771118164
1688400241.153232,2531,4.519999980926514
1688400304.525351,2539,4.75
1688400518.870865,2566,4.130000114440918
1688400526.508689,2567,4.190000057220459
1688400611.183543,2578,4.179999828338623
1688400618.862347,2579,4.059999942779541
1688400696.243596,2589,4.420000076293945
1688400727.368353,2593,4.349999904632568
1688400780.859038,2600,4.429999828338623
1688400834.662792,2607,4.610000133514404
1688400934.598217,2620,4.869999885559082
1688400996.095106,2628,4.809999942779541
1688401003.778605,2629,4.849999904632568
1688401057.376136,2636,5.139999866485596
1688401080.511962,2639,5.090000152587891
1688401088.237821,2640,5.119999885559082
1688401096.026105,2641,5.190000057220459
1688401118.874166,2644,5.329999923706055
1688401264.524874,2663,5.679999828338623
1688401326.057758,2671,5.670000076293945
1688401333.869643,2672,5.71999979019165
1688401356.768302,2675,5.800000190734863
1688401410.593729,2682,5.739999771118164
1688401433.546746,2685,5.75
1688401448.8635,2687,5.690000057220459
1688401471.830855,2690,5.690000057220459
1688401502.905678,2694,5.739999771118164
1688401572.427685,2703,5.519999980926514
1688401618.866937,2709,5.670000076293945
1688401657.282171,2714,5.659999847412109
1688401688.185951,2718,5.53000020980835
1688401780.10237,2730,5.349999904632568
1688401787.866211,2731,5.320000171661377
1688401818.880486,2735,5.260000228881836
1688401856.971052,2740,5.139999866485596
1688401864.748854,2741,5.110000133514404
1688401872.299065,2742,5.059999942779541
1688401895.284611,2745,5.03000020980835
1688401964.331861,2754,4.630000114440918
1688401971.879952,2755,4.639999866485596
1688401979.569141,2756,4.590000152587891
1688402018.136594,2761,4.369999885559082
1688402056.533391,2766,4.599999904632568
1688402079.892782,2769,4.489999771118164
1688402118.468208,2774,4.510000228881836
1688402157.283078,2779,4.619999885559082
1688402211.024776,2786,4.829999923706055
1688402418.658203,2813,5.110000133514404
1688402587.247095,2835,5.400000095367432
1688402618.032611,2839,5.570000171661377
1688402664.210697,2845,5.559999942779541
1688402718.319253,2852,5.449999809265137
1688402794.735093,2862,5.380000114440918
1688402802.419146,2863,5.400000095367432
1688402948.276738,2882,5.489999771118164
1688403025.287142,2892,5.480000019073486
1688403040.846529,2894,5.510000228881836
1688403233.648025,2919,5.099999904632568
1688403256.856757,2922,5.150000095367432
1688403279.98833,2925,5.159999847412109
1688403357.425835,2935,5.21999979019165
1688403496.330415,2953,5.349999904632568
1688403519.283464,2956,5.349999904632568
1688403573.681608,2963,5.320000171661377
1688403596.627729,2966,5.210000038146973
1688403611.89405,2968,5.239999771118164
1688403658.216498,2974,5.46999979019165
1688403758.457646,2987,5.659999847412109
1688403835.30246,2997,5.880000114440918
1688403858.105646,3000,5.949999809265137
1688403881.191294,3003,6.110000133514404
1688404012.40502,3020,5.630000114440918
1688404127.684119,3035,5.619999885559082
1688404227.934839,3048,5.449999809265137
1688404505.223292,3084,5.360000133514404
1688404512.889445,3085,5.420000076293945
1688404605.130814,3097,5.440000057220459
1688404658.997831,3104,5.670000076293945
